ID;Name;Level;Element1;Element2;Health;Abilities
M3_PYRAMID_M3H1_75;Mara'Dia;75;Light;None;180;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_80;Mara'Dia;80;Light;None;185;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_85;Mara'Dia;85;Light;None;190;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_90;Mara'Dia;90;Light;None;195;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H1_95;Mara'Dia;95;Light;None;200;Whenever allied troop is healed, transform a random allied {l} into {L}.|20{r}: You draw a Nhubi'Reg.|At the start of your turn, heal 2 {h} from all damaged allied troops.|Non-light troops gain -2{h}.|20{r}, end your turn: Destroy all allied non-light crystals.
M3_PYRAMID_M3H10_24;Sarnai;24;Light;Earth;125;Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_29;Sarnai;29;Light;Earth;130;Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.
M3_PYRAMID_M3H10_34;Sarnai;34;Light;Earth;135;Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_39;Sarnai;39;Light;Earth;140;30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.
M3_PYRAMID_M3H10_44;Sarnai;44;Light;Earth;145;30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_49;Sarnai;49;Light;Earth;150;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_54;Sarnai;54;Light;Earth;155;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_59;Sarnai;59;Light;Earth;160;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_64;Sarnai;64;Light;Earth;165;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_69;Sarnai;69;Light;Earth;170;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_74;Sarnai;74;Light;Earth;175;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_79;Sarnai;79;Light;Earth;180;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_84;Sarnai;84;Light;Earth;185;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_89;Sarnai;89;Light;Earth;190;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_94;Sarnai;94;Light;Earth;195;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H10_99;Sarnai;99;Light;Earth;200;Allied Plants gain +10{h}.|30{r}: Create a random rose in chosen empty allied field.|Whenever you play a Burla, you create a random Fruit from the Relegatia set in your hand.|Allied Burla gain +5{h}.|30{r}: Change all allied air, darkness or fire crystals to the opposite element.
M3_PYRAMID_M3H9_33;Valerhea;33;Air;Light;135;Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_38;Valerhea;38;Air;Light;140;15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_43;Valerhea;43;Air;Light;145;15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_48;Valerhea;48;Air;Light;150;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_53;Valerhea;53;Air;Light;155;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_58;Valerhea;58;Air;Light;160;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_63;Valerhea;63;Air;Light;165;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_68;Valerhea;68;Air;Light;170;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_73;Valerhea;73;Air;Light;175;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_78;Valerhea;78;Air;Light;180;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_83;Valerhea;83;Air;Light;185;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_88;Valerhea;88;Air;Light;190;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_93;Valerhea;93;Air;Light;195;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H9_98;Valerhea;98;Air;Light;200;Allied illusions are permanent.|15{r}: Create a Mirage in all empty allied fields.|Whenever you swipe a chain, change all allied {n} of that chain's element to the opposite element.|Change the bonus of all allied troops to the opposite element.|10{r}: Change all allied {n} to the opposite element.
M3_PYRAMID_M3H7_42;Gareth;42;Light;Fire;145;10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_47;Gareth;47;Light;Fire;150;10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_52;Gareth;52;Light;Fire;155;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_57;Gareth;57;Light;Fire;160;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_62;Gareth;62;Light;Fire;165;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_67;Gareth;67;Light;Fire;170;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_72;Gareth;72;Light;Fire;175;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_77;Gareth;77;Light;Fire;180;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_82;Gareth;82;Light;Fire;185;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_87;Gareth;87;Light;Fire;190;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_92;Gareth;92;Light;Fire;195;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H7_97;Gareth;97;Light;Fire;200;Whenever an allied troop is destroyed, if your hero has 30 or less {h}, heal 5 {h} from your hero.|10{r}: Until your next turn, whenever allied troop is damaged, this is damaged instead.|If your hero has 30 or less {h}, your hero receives half damage.|As long as your hero has 30 or less {h}, you can play troops in your hand as quick cards.|10{r}: Destroy all crystals in chosen diagonal cross.
M3_PYRAMID_M3H8_51;Stellamarya;51;Water;Light;155;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_56;Stellamarya;56;Water;Light;160;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_61;Stellamarya;61;Water;Light;165;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_66;Stellamarya;66;Water;Light;170;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_71;Stellamarya;71;Water;Light;175;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_76;Stellamarya;76;Water;Light;180;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_81;Stellamarya;81;Water;Light;185;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_86;Stellamarya;86;Water;Light;190;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_91;Stellamarya;91;Water;Light;195;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H8_96;Stellamarya;96;Water;Light;200;At the start of your turn, if there are no allied {N}, transform a random allied {l} into {L}. Transform a random allied {w} into {W}.|20{r}: You draw two cards. You can use this ability only if there are no cards in your hand.|If there are no cards in your hand, you gain double charge.|As long as there is exactly one card in your hand, you can play cards as quick cards.|10{r}: Destroy all crystals in chosen cross.
M3_PYRAMID_M3H19_60;Veiled Eminence;60;Light;Darkness;165;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_65;Veiled Eminence;65;Light;Darkness;170;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_70;Veiled Eminence;70;Light;Darkness;175;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_75;Veiled Eminence;75;Light;Darkness;180;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_80;Veiled Eminence;80;Light;Darkness;185;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_85;Veiled Eminence;85;Light;Darkness;190;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_90;Veiled Eminence;90;Light;Darkness;195;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_M3H19_95;Veiled Eminence;95;Light;Darkness;200;Whenever an allied Vantu is destroyed, if it was the last allied troop, return it to its owner's hand.|5{r}: Steal 20 {r} from your opponent. Your opponent draws a card.|You can play Vantu in your hand as quick cards.|The hand of your opponent is revealed.|15{r}: Destroy all allied crystals without a neighbor of the same element.
M3_PYRAMID_RUBY_ANT_10;Ruby Ant;10;Light;Fire;110;
M3_PYRAMID_RUBY_ANT_30;Ruby Ant;30;Light;Fire;150;
M3_PYRAMID_RUBY_ANT_50;Ruby Ant;50;Light;Fire;190;
M3_PYRAMID_RUBY_ANT_70;Ruby Ant;70;Light;Fire;230;
M3_PYRAMID_RUBY_ANT_90;Ruby Ant;90;Light;Fire;260;
M3_PYRAMID_PONDBACK_13;Pondback;13;Light;Water;110;
M3_PYRAMID_PONDBACK_33;Pondback;33;Light;Water;150;
M3_PYRAMID_PONDBACK_53;Pondback;53;Light;Water;190;
M3_PYRAMID_PONDBACK_73;Pondback;73;Light;Water;230;
M3_PYRAMID_PONDBACK_93;Pondback;93;Light;Water;275;
M3_PYRAMID_FLYING_SQUIRREL_16;Flying Squirrel;16;Light;Air;120;
M3_PYRAMID_FLYING_SQUIRREL_36;Flying Squirrel;36;Light;Air;160;
M3_PYRAMID_FLYING_SQUIRREL_56;Flying Squirrel;56;Light;Air;200;
M3_PYRAMID_FLYING_SQUIRREL_76;Flying Squirrel;76;Light;Air;230;
M3_PYRAMID_FLYING_SQUIRREL_96;Flying Squirrel;96;Light;Air;290;
M3_PYRAMID_WHITE_ANACONDA_19;White Anaconda;19;Light;Earth;120;
M3_PYRAMID_WHITE_ANACONDA_39;White Anaconda;39;Light;Earth;160;
M3_PYRAMID_WHITE_ANACONDA_59;White Anaconda;59;Light;Earth;200;
M3_PYRAMID_WHITE_ANACONDA_79;White Anaconda;79;Light;Earth;230;
M3_PYRAMID_WHITE_ANACONDA_99;White Anaconda;99;Light;Earth;305;
M3_PYRAMID_LUMINA_22;Lumina;22;Light;None;150;
M3_PYRAMID_LUMINA_41;Lumina;41;Light;None;175;
M3_PYRAMID_LUMINA_60;Lumina;60;Light;None;200;
M3_PYRAMID_LUMINA_81;Lumina;81;Light;None;225;
M3_PYRAMID_LUMINA_97;Lumina;97;Light;None;250;
M3C_BONUS_ROOM_NHUBI_RANDOM;Trade Caravan;1;Light;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C_BONUS_ROOM_LETHE_RANDOM;Treasure Hoard;1;Neutral;None;999;Countdown 10|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, add 50 gold for each  damage dealt to the encounter rewards.
M3_PYRAMID_CARAVAN_ROBBER_1;Caravan Robber;1;Light;None;80;
M3_PYRAMID_SANDSLEEPER_3;Sandsleeper;3;Light;None;90;
M3_PYRAMID_RED_MESA_LOOKOUT_5;Red Mesa Lookout;5;Light;None;100;
M3_PYRAMID_WATER_CARRIER_7;Water Carrier;7;Light;Water;100;Whenever you create one or more {L}, transform a random allied {w} into {W}.
M3_PYRAMID_DUNESURFER_9;Dunesurfer;9;Light;None;95;Whenever your hero is dealt at least 10 damage, put a random troop in your hand on a random empty allied field.
M3_PYRAMID_AUVARU_SENTINEL_OF_AURESH_11;Au’Varu, Sentinel of Au'Resh;11;Light;Water;100;At the start of your turn, heal 1 {h} from your hero for each allied water crystal. Destroy all allied water crystals.
M3_PYRAMID_MARAKYCA_THE_CACTUS_13;Mara’Kyca, the Cactus;13;Light;None;100;30{r}, end your turn: Destroy chosen enemy non-light troop.
M3_PYRAMID_XUHROK_LIGHTWIELDER_15;Xuh’Rok, Lightwielder;15;Light;None;120;Whenever you swipe a light chain with 5 or more crystals, destroy all allied darkness crystals.
M3_PYRAMID_THE_HANGMAN_OF_GALLOWWOOD_17;The Hangman of Gallowwood;17;Light;None;140;Whenever you swipe a light chain with 8 or more crystals in a circle, destroy a random non-light troop.
M3_PYRAMID_INVELTIMA_ROOT_ORACLE_19;Inveltima, Root Oracle;19;Light;None;120;At the start of any player's turn, that player draws a card.
M3_PYRAMID_CARAVAN_ROBBER_21;Caravan Robber;21;Light;None;150;
M3_PYRAMID_SANDSLEEPER_23;Sandsleeper;23;Light;None;150;
M3_PYRAMID_RED_MESA_LOOKOUT_25;Red Mesa Lookout;25;Light;None;140;
M3_PYRAMID_WATER_CARRIER_27;Water Carrier;27;Light;Water;140;Whenever you create one or more {L}, transform a random allied {w} into {W}.
M3_PYRAMID_DUNESURFER_29;Dunesurfer;29;Light;None;150;Whenever your hero is dealt at least 12 damage, put a random troop in your hand on a random empty allied field.
M3_PYRAMID_AUVARU_SENTINEL_OF_AURESH_31;Au’Varu, Sentinel of Au'Resh;31;Light;Water;135;At the start of your turn, heal 1 {h} from your hero for each allied water crystal. Destroy all allied water crystals.
M3_PYRAMID_MARAKYCA_THE_CACTUS_33;Mara’Kyca, the Cactus;33;Light;None;135;30{r}, end your turn: Destroy chosen enemy non-light troop.
M3_PYRAMID_XUHROK_LIGHTWIELDER_35;Xuh’Rok, Lightwielder;35;Light;None;160;Whenever you swipe a light chain with 5 or more crystals, destroy all allied darkness crystals.
