ID;Name;Rarity;Element;Cost;Type;Subtype;Quick;Health;Abilities
M3E1183;Bone-chilling Tale;Forbidden;Water;20{r};Action;Trick;True;;The {h} of all enemy troops becomes one.
M3E1184;Back from Bellyond;Forbidden;Darkness;0{r};Action;Trick;True;;You draw a Bellie from the bottom of your deck.
M3E1191;Candy Corn;Forbidden;Light;0{r};Action;Treat;True;;Heal 5 {h} from chosen allied Bellie.
M3E1192;Pumpkin Pie;Forbidden;Earth;10{r};Action;Treat;True;;Chosen allied Bellie gains +10{h}.
M3E1193;Bubbleyegum;Forbidden;Rainbow;5{r};Action;Treat;True;;You draw a card for each allied Bellie.
M3E1194;Stacked Pancake;Forbidden;Fire;5{r};Action;Treat;True;;Double the bonus of chosen allied Bellie.
M3E1196;Fancy Shoes;Forbidden;Fire;5{r};Action;Shoe;True;;Remove the bonus from chosen enemy troop.
M3E1197;Well-worn Sandals;Forbidden;Earth;0{r};Action;Shoe;True;;Heal 3 {h} from chosen allied Bellie.
M3E1198;Winged Boots;Forbidden;Air;0{r};Action;Shoe;True;;Reverse gravity for you.
M3E1199;Sneaky Sneakers;Forbidden;Fire;0{r};Action;Shoe;True;;For this turn, you can play Bellies in your hand as quick cards.
M3E1201;Snowsurfer;Forbidden;Light;5{l};Troop;NhubiReg;;10;
M3E1202;Electra, Starlighter;Forbidden;Darkness;5{d};Troop;Xambr;;10;
M3E1203;Rathos Firstkiss;Forbidden;Fire;5{f};Troop;Rathos;;10;
M3E1204;Rubinia of the Sunken Star;Forbidden;Water;5{w};Troop;Merfolk;;10;
M3E1205;Ianthe, Winter's Herald;Forbidden;Air;5{a};Troop;Skyfolk;;10;
M3E1206;Sweet Sesser;Forbidden;Earth;5{e};Troop;Burla;;10;
M3E1207;Jinglebellie;Exceptional;Fire;0{r};Hero;None;;;
M3E1208;Snoozebellie;Exceptional;Water;0{r};Hero;None;;;
M3E1209;Eggbellie;Forbidden;Rainbow;10{r};Troop;None;;10;
M3E1211;Friendly Gift;Common;Light;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common light card from the Relegatia set in their hand.
M3E1212;Nostalgic Gift;Common;Darkness;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common darkness card from the Relegatia set in their hand.
M3E1213;Warm Gift;Common;Fire;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common fire card from the Relegatia set in their hand.
M3E1214;Polite Gift;Common;Water;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common water card from the Relegatia set in their hand.
M3E1215;Charming Gift;Common;Air;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common air card from the Relegatia set in their hand.
M3E1216;Handy Gift;Common;Earth;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common earth card from the Relegatia set in their hand.
M3E1217;Impersonal Gift;Common;Neutral;0{r};Troop;Gift;True;2;When this is destroyed, your opponent creates a random common rainbow card from the Relegatia set in their hand.
M3E1221;Cordial Gift;Uncommon;Light;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon light card from the Relegatia set in their hand.
M3E1222;Sentimental Gift;Uncommon;Darkness;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon darkness card from the Relegatia set in their hand.
M3E1223;Affectionate Gift;Uncommon;Fire;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon fire card from the Relegatia set in their hand.
M3E1224;Courteous Gift;Uncommon;Water;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon water card from the Relegatia set in their hand.
M3E1225;Beautiful Gift;Uncommon;Air;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon air card from the Relegatia set in their hand.
M3E1226;Useful Gift;Uncommon;Earth;0{r};Troop;Gift;True;4;When this is destroyed, your opponent creates a random uncommon earth card from the Relegatia set in their hand.
M3E1227;Cash Gift;Uncommon;Neutral;0{r};Troop;Gift;True;4;When this is destroyed, the enemy hero gains 15 {r}.
M3E1231;Lovely Gift;Rare;Light;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare light card from the Relegatia set in their hand.
M3E1232;Unique Gift;Rare;Darkness;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare darkness card from the Relegatia set in their hand.
M3E1233;Heartfelt Gift;Rare;Fire;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare fire card from the Relegatia set in their hand.
M3E1234;Thoughtful Gift;Rare;Water;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare water card from the Relegatia set in their hand.
M3E1235;Gorgeous Gift;Rare;Air;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare air card from the Relegatia set in their hand.
M3E1236;Practical Gift;Rare;Earth;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a random rare earth card from the Relegatia set in their hand.
M3E1237;Mystery Gift;Rare;Neutral;0{r};Troop;Gift;True;6;When this is destroyed, your opponent creates a Blubellie in their hand.
M3E1241;Tome of Strategy;Exceptional;Rainbow;30{r};Action;None;True;;Reduce the cost of cards in your hand by 5.
M3E1242;Strawberry Cane;Common;Rainbow;3{r};Action;None;True;;Heal 10 {h} from chosen allied troop.
M3E1243;Peppermint Cane;Common;Rainbow;3{r};Action;None;True;;Double the bonus of chosen allied troop.
M3E1244;Blubellie Stuffing;Common;Rainbow;3{r};Action;None;True;;Heal 10 {h} from your hero.
M3E1245;Gingerbellie;Common;Rainbow;3{r};Action;None;True;;Heal 5 {h} from all allied troops.
M3E1251;Travel Voucher;Exceptional;Light;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random Map from the Relegatia set in their hand.
M3E1252;Mushroom Sampler;Exceptional;Darkness;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random Mushroom from the Relegatia set in their hand.
M3E1253;Lootbox;Exceptional;Fire;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random Weapon from the Relegatia set in their hand.
M3E1254;Booze Bottle;Exceptional;Water;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random Potion from the Relegatia set in their hand.
M3E1255;Last-Minute Gift;Exceptional;Air;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random quick card from the Relegatia set in their hand.
M3E1256;Fruit Basket;Exceptional;Earth;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random Fruit from the Relegatia set in their hand.
M3E1257;Expensive Gift;Exceptional;Neutral;0{r};Troop;Gift;True;5;When this is destroyed, your opponent creates a random exceptional card from the Relegatia set in their hand.
M3C3;Vantu Spy Form;Rare;Darkness;0{r};Hero;None;;;Whenever a card is played by anyone, you steal a random card  in your opponent's hand.|At the start of your turn, if there are no cards in your opponent's hand, this changes to Vantu Diplomat.
M3C4;Vantu Diplomat Form;Rare;Water;0{r};Hero;None;;;At the start of your turn, all players draw a card.|At the start of your opponent's turn, if there are at least 2 cards  in your opponent's hand, this changes to Vantu Spy.
M3C5;Vulder;Exceptional;Water;0{r};Hero;None;;;Countdown 7|Whenever the countdown reaches zero, remove all bonuses and abilities from enemy troops. Reset the countdown.
M3C6;Akar;Exceptional;Earth;0{r};Hero;None;;;Countdown 7|Whenever the countdown reaches zero, poison all enemy troops for two damage per turn. Reset the countdown.
M3C7;Perun;Exceptional;Air;0{r};Hero;None;;;Countdown 5|Whenever the countdown reaches zero, reverse the bonus of all enemy troops. Deal three damage to all these troops. Reset the countdown.
M3C8;Aterioth - Banished in Crystal;Exceptional;Darkness;0{r};Hero;None;;;Countdown 5|Whenever the countdown reaches zero, reset the countdown. This changes to Attack Stance.
M3C9;Aterioth - Attack Stance;Exceptional;Darkness;0{r};Hero;None;;;Countdown 5|Whenever the countdown reaches zero, reset the countdown. This changes to Defense Stance.|Whenever this is damaged, if this has 100 or less {h}, this changes to Desperate Stance.|0{r}, end your turn: Destroy chosen allied crystal.
M3C10;Aterioth - Defense Stance;Exceptional;Darkness;0{r};Hero;None;;;Countdown 5|Whenever the countdown reaches zero, reset the countdown. This changes to Attack Stance.|Whenever this is damaged, if this has 100 or less {h}, this changes to Desperate Stance.|This receives half damage.|0{r}, end your turn: Destroy chosen allied crystal.
M3C11;Aterioth - Desperate Stance;Exceptional;Darkness;0{r};Hero;None;;;At the start of your turn, you draw a card.|0{r}, end your turn: Destroy chosen allied crystal.
M3C101;Closing Door;Common;Neutral;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, if there are no allied troops, you lose the game.
M3C102;Treasure Hoard;Common;Neutral;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, add 50 gold for each  damage dealt to the encounter rewards.
M3C103;Underground Labyrinth;Common;Darkness;0{r};Hero;None;;;Countdown 12|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, put all allied troops on the bottom of their owner's deck. Put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field.
M3C104;Hunting Grounds;Common;Earth;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, create a random Beast from the Relegatia set in a random empty allied field.|Whenever an allied troop is destroyed, add that troop to the encounter rewards.
M3C105;Erupting Volcano;Common;Fire;0{r};Hero;None;;;At the start of your turn, deal ten damage to all troops and heroes.|Whenever this is damaged by a fire chain, create a Volcanic Cache in a random empty allied field.|Whenever this is damaged by a water chain, you lose the game.
M3C106;Fishing Pond;Common;Water;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged, create a random Fish from the Relegatia set in a random empty allied field.|Whenever an allied troop is destroyed, add that troop to the encounter rewards.
M3C107;Mountainroot Bazaar;Common;Air;0{r};Hero;None;;;Countdown 6|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put all allied troops on the bottom of their owner's deck. Put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field. The {h} of all allied troops becomes five.
M3C108;Trade Caravan;Common;Light;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C109;Mirror Gallery;Common;Light;0{r};Hero;None;;;At the start of your turn, if there are no allied troops, you lose the game.
M3C110;Rathos Armory;Common;Earth;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C111;Burla Farmstead;Common;Earth;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C112;Lyrdhin Fairground;Common;Rainbow;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.
M3C113;Capsized Trade Ship;Common;Water;0{r};Hero;None;;;Countdown 10|Whenever the countdown reaches zero, you lose the game.|At the start of your turn, put a random allied troop in the Deck on a random empty allied field.
M3C114;Xambr Mine;Common;Earth;0{r};Hero;None;;;Countdown 15|Whenever the countdown reaches zero, you lose the game.|Whenever this is damaged by a light chain, create a Gold Vein in a random empty allied field.|Whenever this is damaged by a darkness chain, create a Silver Vein in a random empty allied field.|Whenever this is damaged by a fire chain, create a Demolition Bomb in a random empty allied field.|Whenever this is damaged by a water chain, create an Underground Wash in a random empty allied field.|Whenever this is damaged by an air chain, create a Crystal Vein in a random empty allied field.|Whenever this is damaged by an earth chain, create a Copper Vein in a random empty allied field.
M3C201;Booster Chest;Uncommon;Neutral;0{r};Troop;None;True;20;When this is destroyed, add a booster pack to the encounter rewards.
M3C202;Gold Chest;Rare;Neutral;0{r};Troop;Treasure;True;30;When this is destroyed, add 2000 gold to the encounter rewards.
M3C203;Forbidden Chest;Exceptional;Neutral;0{r};Troop;Treasure;True;50;When this is destroyed, add a random exceptional card from the Relegatia set to the encounter rewards.
M3C204;Volcanic Cache;Common;Fire;0{r};Troop;Treasure;True;100;When this is destroyed, add a random fire card from the Relegatia set to the encounter rewards.
M3C205;Duplicating Mirror;Common;Light;0{r};Troop;Treasure;True;77;Can't be damaged.|Whenever a troop enters the battlegrounds on the opposite field, this changes to that troop. Add a copy of that troop to the encounter rewards.
M3C206;Weapon Rack;Common;Neutral;0{r};Troop;None;True;25;When this is destroyed, add a random Weapon from the Relegatia set to the encounter rewards.
M3C207;Armor Rack;Common;Neutral;0{r};Troop;None;True;25;When this is destroyed, add a random Armor from the Relegatia set to the encounter rewards.
M3C208;Mushroom Patch;Common;Neutral;0{r};Troop;None;True;7;When this is destroyed, add a random Mushroom from the Relegatia set to the encounter rewards.
M3C209;Fruit Garden;Common;Neutral;0{r};Troop;None;True;7;When this is destroyed, add a random Fruit from the Relegatia set to the encounter rewards.
M3C210;Bubbling Cauldron;Common;Neutral;0{r};Troop;None;True;12;When this is destroyed, add a random Potion from the Relegatia set to the encounter rewards.
M3C211;Ochre Crate;Common;Light;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common light card from the Relegatia set to the encounter rewards.
M3C212;Indigo Crate;Common;Darkness;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common darkness card from the Relegatia set to the encounter rewards.
M3C213;Garnet Crate;Common;Fire;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common fire card from the Relegatia set to the encounter rewards.
M3C214;Cobalt Crate;Common;Water;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common water card from the Relegatia set to the encounter rewards.
M3C215;Azure Crate;Common;Air;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common air card from the Relegatia set to the encounter rewards.
M3C216;Umber Crate;Common;Earth;0{r};Troop;Treasure;True;5;When this is destroyed, add a random common earth card from the Relegatia set to the encounter rewards.
M3C221;Amber Chest;Uncommon;Light;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon light card from the Relegatia set to the encounter rewards.
M3C222;Onyx Chest;Uncommon;Darkness;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon darkness card from the Relegatia set to the encounter rewards.
M3C223;Cinnabar Chest;Uncommon;Fire;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon fire card from the Relegatia set to the encounter rewards.
M3C224;Aquamarine Chest;Uncommon;Water;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon water card from the Relegatia set to the encounter rewards.
M3C225;Turquoise Chest;Uncommon;Air;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon air card from the Relegatia set to the encounter rewards.
M3C226;Jade Chest;Uncommon;Earth;0{r};Troop;Treasure;True;10;When this is destroyed, add a random uncommon earth card from the Relegatia set to the encounter rewards.
M3C231;Hallowed Antique;Rare;Light;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare light card from the Relegatia set to the encounter rewards.
M3C232;Forsaken Relic;Rare;Darkness;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare darkness card from the Relegatia set to the encounter rewards.
M3C233;Infernal Hoard;Rare;Fire;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare fire card from the Relegatia set to the encounter rewards.
M3C234;Frozen Treasure;Rare;Water;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare water card from the Relegatia set to the encounter rewards.
M3C235;Summit's Reward;Rare;Air;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare air card from the Relegatia set to the encounter rewards.
M3C236;Underbrush Stash;Rare;Earth;0{r};Troop;Treasure;True;20;When this is destroyed, add a random rare earth card from the Relegatia set to the encounter rewards.
M3C251;Warrior's Strength Gauge;Common;Neutral;0{r};Troop;None;True;999;Whenever this is dealt at least 5 damage, add a random common card from the Relegatia set to the encounter rewards.|Whenever this is damaged, fully heal this.
M3C252;Champion's Strength Gauge;Uncommon;Neutral;0{r};Troop;None;True;999;Whenever this is dealt at least 10 damage, add a random uncommon card from the Relegatia set to the encounter rewards.|Whenever this is damaged, fully heal this.
M3C253;Behemoth's Strength Gauge;Rare;Neutral;0{r};Troop;None;True;999;Whenever this is dealt at least 15 damage, add a random rare card from the Relegatia set to the encounter rewards.|Whenever this is damaged, fully heal this.
M3C261;Gold Vein;Rare;Light;0{r};Troop;None;True;100;When this is destroyed, add 4000 gold to the encounter rewards.
M3C262;Silver Vein;Uncommon;Darkness;0{r};Troop;None;True;50;When this is destroyed, add 1500 gold to the encounter rewards.
M3C263;Copper Vein;Common;Earth;0{r};Troop;None;True;20;When this is destroyed, add 500 gold to the encounter rewards.
M3C264;Crystal Vein;Common;Air;0{r};Troop;None;True;30;When this is destroyed, transform all enemy {n} into {N}.
M3C265;Demolition Bomb;Common;Fire;0{r};Troop;None;True;1;At the start of your turn, deal 20 damage to all troops.
M3C266;Underground Wash;Common;Water;0{r};Troop;None;True;5;At the start of your turn, deal five damage to all allied non-water troops.
M3C271;Training Dummy;Common;Neutral;0{r};Troop;None;True;1;When this is destroyed, add 100 experience to the encounter rewards.
M3C272;Armed Dummy;Uncommon;Neutral;0{r};Troop;None;True;20;When this is destroyed, add 1000 experience to the encounter rewards.
M3C273;Golden Dummy;Rare;Neutral;0{r};Troop;None;True;30;When this is destroyed, add 5000 experience to the encounter rewards.
M3C274;Crystal Dummy;Exceptional;Neutral;0{r};Troop;None;True;40;When this is destroyed, add 7500 experience to the encounter rewards.
M3C275;Platinum Dummy;Secret;Neutral;0{r};Troop;None;True;50;When this is destroyed, add 10000 experience to the encounter rewards.
M3C276;Elite Dummy;Forbidden;Neutral;0{r};Troop;None;True;60;When this is destroyed, add 20000 experience to the encounter rewards.
M3C291;Mysterious Crate;Common;Neutral;0{r};Troop;None;True;17;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C292;Enigmatic Crate;Common;Neutral;0{r};Troop;None;True;3;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C293;Unlabeled Crate;Common;Neutral;0{r};Troop;None;True;20;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C294;Peculiar Crate;Common;Neutral;0{r};Troop;None;True;15;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C295;Weird Crate;Common;Neutral;0{r};Troop;None;True;22;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C296;Odd Crate;Common;Neutral;0{r};Troop;None;True;14;Stats are hidden.|When this is destroyed, add a random card from the Relegatia set to the encounter rewards.
M3C301;Sandveil;Forbidden;Light;3{l};Troop;None;;1;Can't be chosen|Can't be damaged.|
M3C302;Tentacle;Forbidden;Water;0{r};Troop;None;True;8;When this is destroyed, your hero gains -1 {wc}.
M3C303;Illusion;Uncommon;Water;0{r};Troop;Illusion;True;1;At the start of your turn, destroy this.
M3C304;Tumbleweed;Common;Light;3{r};Troop;Plant;True;3;
M3C305;Mirage;Uncommon;Air;0{r};Troop;Illusion;True;5;At the start of your turn, destroy this.
M3C311;Beryl Rose;Common;Light;10{r};Troop;Plant;True;5;
M3C312;Amethyst Rose;Common;Darkness;10{r};Troop;Plant;True;5;
M3C313;Ruby Rose;Common;Fire;10{r};Troop;Plant;True;5;
M3C314;Sapphire Rose;Common;Water;10{r};Troop;Plant;True;5;
M3C315;Topaz Rose;Common;Air;10{r};Troop;Plant;True;5;
M3C316;Emerald Rose;Common;Earth;10{r};Troop;Plant;True;5;
M3C8001;Puzzle Master;Forbidden;Rainbow;0{r};Hero;None;;;
M3C8002;Puzzle Adept;Forbidden;Rainbow;0{r};Hero;None;;;
M3C9001;Puzzle Barrier;Forbidden;Rainbow;0{r};Troop;Wall;True;1;
M3B1;Bowling Adept;Rare;Neutral;0{r};Hero;None;;;
M3B2;Bowling Bellie;Rare;Neutral;0{r};Hero;None;;;At the start of your turn, if there are at least 3 allied Pins, you win the game.|At the start of your opponent's turn, put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field. Put a random allied troop in the Deck on a random empty allied field.
M3B3;Three Pins;Uncommon;Rainbow;3{r};Troop;Pin;True;3;This can only be dealt exact damage.
M3B4;Four Pins;Common;Rainbow;4{r};Troop;Pin;True;4;This can only be dealt exact damage.
M3B5;Five Pins;Common;Rainbow;5{r};Troop;Pin;True;5;This can only be dealt exact damage.
M3B6;Six Pins;Uncommon;Rainbow;6{r};Troop;Pin;True;6;This can only be dealt exact damage.
M3B7;Seven Pins;Rare;Rainbow;7{r};Troop;Pin;True;7;This can only be dealt exact damage.
M3B8;Eight Pins;Rare;Rainbow;8{r};Troop;Pin;True;8;This can only be dealt exact damage.
M3B9;Nine Pins;Exceptional;Rainbow;9{r};Troop;Pin;True;9;This can only be dealt exact damage.
M3B10;Ten Pins;Exceptional;Rainbow;10{r};Troop;Pin;True;10;This can only be dealt exact damage.
M3B101;Split;Common;Light;0{r};Action;None;;;Destroy the enemy center Pin..
M3B102;Flush;Common;Darkness;0{r};Action;None;;;Destroy chosen enemy Pin.
M3B103;X-Roll;Common;Fire;0{r};Action;None;True;;Destroy all crystals in chosen diagonal cross.
M3B104;Eight Ball;Common;Water;0{r};Action;None;True;;Destroy all crystals in chosen 3x3 ring.
M3B105;Straight Roll;Common;Earth;0{r};Action;None;True;;Destroy all crystals in chosen line.
M3B106;Pit Roll;Common;Air;0{r};Action;None;True;;Destroy all crystals in chosen column.
M3B107;Chop;Common;Rainbow;0{r};Action;None;True;;Destroy chosen allied crystal.
M3B108;Re-Roll;Common;Rainbow;0{r};Action;None;True;;You get an extra turn.
M3B109;Strike;Common;Fire;0{r};Action;None;;;Destroy all enemy Pins.
M3R1101;Light Up;Common;Light;2{r};Action;None;True;;Transform chosen allied {l} into {L}.
M3R1102;Meerkat;Common;Light;3{r};Troop;None;True;3;
M3R1103;Imperial Soldier;Common;Light;3{l};Troop;Imperial;;6;
M3R1104;Emerald Cobra;Common;Light;5{l};Troop;Snake;;3;When this is destroyed, poison a random enemy troop for one damage per turn.
M3R1105;Turn to Light;Common;Light;3{r};Action;None;True;;Change the element of chosen allied crystal to light.
M3R1106;Camel;Common;Light;6{l};Troop;Beast;;11;The cost of Nhubi'Reg in your hand is reduced by 2.
M3R1107;Southern Cross;Common;Light;15{r};Action;None;True;;Destroy all crystals in chosen cross.
M3R1108;Cone of Light;Common;Light;12{r};Action;None;True;;Destroy chosen darkness troop.
M3R1109;Cactus Fig;Common;Light;7{r};Action;Fruit;True;;For this turn, your hero gains +300 {lp}. Heal 5 {h} from your hero.
M3R1110;Lumushroom;Common;Light;3{l};Action;Mushroom;;;Chosen allied troop gains Healing 2.
M3R1111;Caravan Guard;Common;Light;6{l};Troop;NhubiReg;;8;When this enters the battlegrounds, heal 5 {h} from your hero.
M3R1112;Caravan Robber;Common;Light;6{l};Troop;NhubiReg;;8;When this enters the battlegrounds, deal five damage to the enemy hero.
M3R1113;Sandsleeper;Common;Light;7{l};Troop;NhubiReg;;10;
M3R1114;Red Mesa Lookout;Common;Light;3{l};Troop;NhubiReg;;6;The hand of your opponent is revealed.
M3R1115;Lifeweaver;Common;Light;4{l};Troop;NhubiReg;;1;When this enters the battlegrounds, this gains +2{h} for each card in your hand.
M3R1117;Back from the Brink;Common;Light;5{l};Action;None;;;You draw two cards from the bottom of your deck.
M3R1118;Coral Snake;Common;Light;7{l};Troop;Snake;;8;When this enters the battlegrounds, poison the opposite troop for one damage per turn.
M3R1119;Cactus Juice;Common;Light;10{r};Action;None;True;;For this turn, your hero gains +3 {lc}. You draw a card.
M3R1120;Luminiscent Sword;Common;Light;5{r};Action;Weapon;True;;Your hero gains +2 {lc}.
M3R1121;Fennek;Common;Light;4{l};Troop;Beast;;8;
M3R1141;Lethe Balmer;Common;Light;6{l};Troop;Lethe;;12;At the start of your turn, heal 3 {h} from all other damaged allied troops.
M3R1201;Illuminate Darkness;Uncommon;Light;10{r};Action;None;True;;Transform all allied {d} into {l}.
M3R1202;Light Crystal Vein;Uncommon;Light;5{r};Action;None;True;;Your hero gains +100 {lp}.
M3R1203;Golden Cudgel;Uncommon;Light;15{r};Action;Weapon;True;;Your hero gains +1 {l}.
M3R1204;Frontline Map;Uncommon;Light;10{l};Action;Map;;;Create an Imperial Soldier in all empty allied fields.
M3R1205;Change of Heart;Uncommon;Light;8{r};Action;None;True;;Change the bonus element of chosen troop to light.
M3R1206;Vulture;Uncommon;Light;6{l};Troop;Bird;;12;Whenever an other troop is destroyed, heal 5 {h} from this.
M3R1207;Knight's Shield;Uncommon;Light;10{r};Action;Armor;True;;"Chosen allied troop gains ""Until your next turn, this gains ""Can't be damaged""""."
M3R1208;Daybreak;Uncommon;Light;6{l};Action;None;;;Destroy chosen non-light troop.
M3R1209;Lethe Sigil;Uncommon;Light;10{r};Action;Sigil;True;;Your hero gains +2 {lc}, +1 {fc} and  +1 {ac}.
M3R1210;Prism Ray;Uncommon;Light;10{r};Action;None;True;;Destroy all allied crystals in the center columns.
M3R1211;Veh’Lira, Sandveil Mage;Uncommon;Light;7{l};Troop;NhubiReg;;12;"When this enters the battlegrounds, other allied troops gain ""Can't be damaged"" until your next turn."
M3R1212;Water Carrier;Uncommon;Light;8{l};Troop;NhubiReg;;15;Whenever you create one or more {L}, transform a random allied {w} into {W}.
M3R1213;Dunesurfer;Uncommon;Light;8{l};Troop;NhubiReg;;12;Whenever your hero is dealt at least 10 damage, put this on a random empty allied field.
M3R1214;Sanguine Initiate;Uncommon;Light;7{l};Troop;NhubiReg;;13;At the start of your turn, if there are at least 7 cards in your hand, double the bonus of this.
M3R1215;Snakecatcher;Uncommon;Light;10{l};Troop;NhubiReg;;12;Whenever you swipe a light chain with 7 or more crystals, you create a random Snake from the Relegatia set in your hand.
M3R1221;Ruby Ant;Uncommon;Light;5{l};Troop;None;;10;
M3R1222;Pondback;Uncommon;Light;5{l};Troop;Beast;;10;
